time_sec,bus_id,headway_min
0.000000,0,15.000000
300.000000,0,20.000000
630.000000,0,25.500000
900.000000,1,2.983333
1021.000000,0,32.016667
1280.000000,1,4.150000
1331.000000,0,37.183333
1671.000000,0,42.850000
1671.000000,1,5.000000
1800.000000,2,0.766667
2054.000000,0,49.233333
2054.000000,1,5.000000
2280.000000,2,3.533333
2368.000000,1,4.983333
2369.000000,0,54.483333
2700.000000,3,4.516667
2728.000000,0,60.466667
2729.000000,2,4.983333
2730.000000,1,5.033333
3125.000000,1,4.983333
3126.000000,2,5.016667
3126.000000,0,67.100000
3238.000000,3,1.383333
3453.000000,1,5.000000
3453.000000,0,72.550000
3455.000000,2,5.033333
3600.000000,4,1.900000
3786.000000,0,3.100000
3786.000000,3,5.000000
3786.000000,2,4.983333
3787.000000,1,5.016667
4190.000000,0,4.866667
4191.000000,3,4.983333
4191.000000,1,5.016667
4192.000000,2,5.016667
4198.000000,4,5.116667
4526.000000,1,4.966667
4527.000000,2,5.016667
4528.000000,0,10.500000
4542.000000,3,5.250000
4862.000000,0,5.000000
4862.000000,4,4.716667
4863.000000,2,4.983333
4864.000000,1,5.033333
4879.000000,3,5.266667
5279.000000,0,5.000000
5279.000000,4,4.983333
5280.000000,1,5.016667
5280.000000,2,5.000000
5280.000000,3,5.000000
5694.000000,1,4.966667
5694.000000,4,4.966667
5695.000000,2,5.016667
5696.000000,0,5.033333
5696.000000,3,5.016667
6110.000000,2,5.000000
6110.000000,0,5.000000
6110.000000,4,5.000000
6110.000000,3,5.000000
6110.000000,1,5.000000
6534.000000,2,5.000000
6534.000000,4,4.966667
6534.000000,1,4.983333
6535.000000,0,5.016667
6536.000000,3,5.033333
6966.000000,3,4.983333
6967.000000,0,5.000000
6967.000000,4,5.016667
6967.000000,2,4.983333
6968.000000,1,5.016667
7396.000000,2,5.000000
7396.000000,3,5.000000
7396.000000,1,4.983333
7396.000000,4,5.000000
7397.000000,0,5.016667
7825.000000,4,4.983333
7826.000000,3,5.000000
7826.000000,2,4.983333
7827.000000,1,5.000000
7827.000000,0,5.033333
8262.000000,1,5.000000
8262.000000,0,4.983333
8263.000000,4,5.000000
8263.000000,2,5.016667
8263.000000,3,5.000000
8710.000000,0,4.983333
8710.000000,2,5.000000
8710.000000,1,5.000000
8711.000000,4,5.000000
8711.000000,3,5.016667
9153.000000,2,4.983333
9153.000000,3,5.000000
9154.000000,4,5.016667
9154.000000,1,5.000000
9154.000000,0,5.000000
9597.000000,2,5.000000
9597.000000,4,4.983333
9597.000000,1,4.983333
9598.000000,0,5.016667
9598.000000,3,5.016667
10059.000000,3,4.966667
10060.000000,0,5.000000
10060.000000,4,5.016667
10061.000000,1,5.016667
10061.000000,2,5.000000
10511.000000,2,4.983333
10512.000000,4,5.000000
10512.000000,3,5.016667
10512.000000,0,5.000000
10512.000000,1,5.000000
10970.000000,4,4.966667
10972.000000,3,5.000000
10972.000000,1,5.000000
10972.000000,0,5.033333
10972.000000,2,5.000000
11422.000000,1,4.983333
11422.000000,3,5.000000
11422.000000,2,5.000000
11423.000000,4,5.016667
11423.000000,0,5.000000
11872.000000,1,4.966667
11872.000000,4,4.966667
11873.000000,2,5.016667
11874.000000,3,5.016667
11874.000000,0,5.033333
12334.000000,0,4.983333
12334.000000,1,5.000000
12335.000000,4,5.000000
12335.000000,2,5.016667
12335.000000,3,5.000000
12797.000000,0,5.000000
12797.000000,4,4.966667
12798.000000,2,4.983333
12799.000000,1,5.033333
12799.000000,3,5.016667
13259.000000,3,4.966667
13260.000000,1,5.000000
13260.000000,0,4.983333
13261.000000,4,5.033333
13261.000000,2,5.016667
13718.000000,1,5.000000
13718.000000,0,5.000000
13718.000000,4,5.000000
13718.000000,3,4.983333
13719.000000,2,5.016667
14172.000000,4,4.983333
14173.000000,3,4.983333
14173.000000,1,4.983333
14174.000000,2,5.016667
14174.000000,0,5.033333
14633.000000,2,4.983333
14633.000000,4,4.966667
14634.000000,1,4.983333
14635.000000,3,5.033333
14635.000000,0,5.033333
15102.000000,4,4.966667
15102.000000,0,5.000000
15103.000000,1,5.016667
15103.000000,2,5.000000
15104.000000,3,5.016667
15580.000000,4,4.983333
15580.000000,2,4.983333
15581.000000,0,5.016667
15581.000000,1,5.000000
15581.000000,3,5.016667
16057.000000,4,4.966667
16058.000000,1,4.983333
16059.000000,2,5.016667
16059.000000,0,5.033333
16059.000000,3,5.000000
16521.000000,4,4.983333
16521.000000,0,5.000000
16522.000000,3,4.983333
16522.000000,1,5.016667
16523.000000,2,5.016667
16977.000000,4,4.983333
16977.000000,1,4.983333
16978.000000,3,5.000000
16978.000000,0,5.016667
16978.000000,2,5.016667
17443.000000,0,5.000000
17443.000000,4,4.983333
17444.000000,1,5.016667
17444.000000,3,4.983333
17445.000000,2,5.016667
17915.000000,2,4.966667
17916.000000,3,5.016667
17916.000000,4,5.000000
17916.000000,0,5.000000
17917.000000,1,5.016667
18387.000000,1,4.983333
18387.000000,2,5.000000
18388.000000,3,5.016667
18388.000000,4,5.000000
18388.000000,0,5.000000
18858.000000,2,4.983333
18858.000000,3,5.000000
18858.000000,0,4.983333
18859.000000,4,5.016667
18859.000000,1,5.016667
19334.000000,1,5.000000
19334.000000,0,4.983333
19335.000000,4,5.000000
19335.000000,3,4.983333
19336.000000,2,5.033333
19819.000000,2,5.000000
19819.000000,1,4.983333
19820.000000,0,4.983333
19821.000000,4,5.000000
19821.000000,3,5.033333
20298.000000,4,4.983333
20298.000000,1,4.966667
20299.000000,2,5.016667
20299.000000,3,5.000000
20300.000000,0,5.033333
20785.000000,3,5.000000
20785.000000,1,4.983333
20785.000000,4,5.000000
20785.000000,2,5.000000
20786.000000,0,5.016667
21254.000000,4,4.983333
21255.000000,1,5.000000
21255.000000,3,5.000000
21255.000000,0,5.016667
21255.000000,2,5.000000
21732.000000,4,4.966667
21733.000000,2,4.983333
21734.000000,0,5.033333
21734.000000,1,5.000000
21734.000000,3,5.016667
22204.000000,1,4.983333
22204.000000,2,5.000000
22204.000000,3,5.000000
22205.000000,4,5.016667
22205.000000,0,5.000000
22675.000000,4,4.966667
22676.000000,2,4.983333
22677.000000,3,5.016667
22677.000000,0,5.033333
22677.000000,1,5.000000
23154.000000,4,4.983333
23154.000000,0,5.000000
23155.000000,1,5.016667
23155.000000,3,4.983333
23156.000000,2,5.016667
23622.000000,1,4.966667
23624.000000,2,5.033333
23624.000000,0,5.000000
23624.000000,3,5.000000
23624.000000,4,5.000000
24091.000000,1,4.983333
24091.000000,3,5.000000
24091.000000,2,5.000000
24091.000000,4,5.000000
24092.000000,0,5.016667
24562.000000,4,4.983333
24563.000000,3,4.983333
24564.000000,2,5.000000
24564.000000,1,5.000000
24564.000000,0,5.033333
25040.000000,1,4.983333
25041.000000,4,4.983333
25041.000000,0,5.000000
25041.000000,2,5.016667
25042.000000,3,5.016667
25511.000000,0,4.983333
25511.000000,2,4.966667
25511.000000,3,5.000000
25512.000000,4,5.016667
25513.000000,1,5.033333
25980.000000,3,4.983333
25981.000000,2,5.000000
25981.000000,4,5.016667
25981.000000,1,4.983333
25982.000000,0,5.016667
26467.000000,4,5.000000
26467.000000,2,5.000000
26467.000000,0,5.000000
26467.000000,3,5.000000
26467.000000,1,5.000000
26954.000000,3,4.966667
26954.000000,0,4.983333
26955.000000,4,5.016667
26955.000000,1,5.016667
26956.000000,2,5.016667
27423.000000,4,4.966667
27423.000000,2,4.983333
27423.000000,0,5.000000
27424.000000,1,5.016667
27425.000000,3,5.033333
27882.000000,2,4.983333
27883.000000,4,4.983333
27883.000000,1,5.000000
27883.000000,0,5.000000
27884.000000,3,5.033333
28364.000000,3,4.966667
28366.000000,4,5.033333
28366.000000,2,5.000000
28366.000000,1,5.000000
28366.000000,0,5.000000
